"Date","Open","High","Low","Close","a","b"
"24/03/2009",8334.68,8504.41,8297.27,8488.3,8483.46005372922,"ETS(A,N,N)"
"25/03/2009",8499.69,8553.01,8392.56,8479.99,8480.04809860139,"ETS(A,N,N)"
"26/03/2009",8430.22,8640.28,8383.99,8636.33,8632.56549064316,"ETS(A,N,N)"
"27/03/2009",8711.72,8843.18,8626.97,8626.97,8627.04818705052,"ETS(A,N,N)"
"30/03/2009",8621.85,8651.06,8236.08,8236.08,8246.37924080441,"ETS(M,N,N)"
"31/03/2009",8199.43,8383.74,8088.45,8109.53,8109.54271265062,"ETS(A,N,N)"
"01/04/2009",8173.36,8351.91,8084.62,8351.91,8345.58950548154,"ETS(M,N,N)"
"02/04/2009",8453.73,8741.67,8449.87,8719.78,8719.74270898891,"ETS(M,N,N)"
"03/04/2009",8814.1,8884.63,8697.17,8749.84,8749.83698829185,"ETS(M,N,N)"
"06/04/2009",8856.84,8992.06,8812.36,8857.93,8857.91917807192,"ETS(M,N,N)"
"07/04/2009",8838.66,8884.45,8778.92,8832.85,8832.85250838405,"ETS(A,N,N)"
"08/04/2009",8746.73,8765.64,8556.75,8595.01,8595.03381969496,"ETS(A,N,N)"
"09/04/2009",8665.16,8920.86,8664.26,8916.06,8916.02727570592,"ETS(A,N,N)"
"10/04/2009",9041.23,9068.8,8856.69,8964.11,8964.10509076762,"ETS(A,N,N)"
"13/04/2009",8930.35,9024.45,8888.1,8924.43,8924.43396991307,"ETS(A,N,N)"
"14/04/2009",8955.9,8961.73,8749.92,8842.68,8842.68835993121,"ETS(A,N,N)"
"15/04/2009",8777.68,8800.52,8681.03,8742.96,8742.96997428343,"ETS(A,N,N)"
"16/04/2009",8848.43,9030,8720.62,8755.26,8755.25876717742,"ETS(A,N,N)"
"17/04/2009",8854.33,8953.34,8834.63,8907.58,8907.56475379238,"ETS(A,N,N)"
"20/04/2009",8899.59,8933.8,8813.72,8924.75,8924.7482802934,"ETS(A,N,N)"
"21/04/2009",8802.09,8802.09,8612.76,8711.33,8711.35148228762,"ETS(A,N,N)"
"22/04/2009",8777.53,8802.9,8683.27,8727.3,8727.29839226363,"ETS(A,N,N)"
"23/04/2009",8776.94,8860.55,8647.8,8847.01,8846.99794901334,"ETS(A,N,N)"
"24/04/2009",8832.1,8852.83,8694.92,8707.99,8708.00390428811,"ETS(A,N,N)"
"27/04/2009",8783.34,8840.53,8648.51,8726.34,8726.33816488932,"ETS(A,N,N)"
"28/04/2009",8678.28,8808.64,8493.77,8493.77,8493.79328152834,"ETS(A,N,N)"
"30/04/2009",8615.45,8844.77,8615.45,8828.26,8828.22490882901,"ETS(A,N,N)"
"01/05/2009",8848.84,9017.32,8827.13,8977.37,8977.35505504766,"ETS(A,N,N)"
"07/05/2009",9102.35,9385.7,9100.11,9385.7,9385.65911994636,"ETS(A,N,N)"
"08/05/2009",9351.4,9464.43,9349.57,9432.83,9432.82524813939,"ETS(A,N,N)"
"11/05/2009",9460.72,9503.91,9342.75,9451.98,9451.97808398934,"ETS(A,N,N)"
"12/05/2009",9358.25,9389.61,9298.61,9298.61,9298.62547373333,"ETS(A,N,N)"
